timestamp,value1,value2,value3
1746751876.032,-2.642,4.302,-1.438
1746751876.167,-2.772,4.232,-1.493
1746751876.170,-2.775,4.230,-1.494
1746751876.171,-2.776,4.229,-1.494
1746751876.173,-2.777,4.229,-1.495
1746751876.174,-2.778,4.228,-1.495
1746751876.175,-2.780,4.227,-1.496
1746751876.176,-2.781,4.227,-1.496
1746751876.177,-2.782,4.226,-1.497
1746751876.179,-2.783,4.225,-1.497
1746751876.180,-2.784,4.225,-1.498
1746751876.181,-2.785,4.224,-1.498
1746751876.182,-2.787,4.223,-1.499
1746751876.184,-2.788,4.223,-1.499
1746751876.185,-2.789,4.222,-1.500
1746751876.186,-2.790,4.221,-1.500
1746751876.188,-2.792,4.221,-1.501
1746751876.189,-2.793,4.220,-1.501
1746751876.190,-2.794,4.219,-1.502
1746751876.192,-2.795,4.219,-1.503
1746751876.193,-2.797,4.218,-1.503
1746751876.194,-2.798,4.217,-1.504
1746751876.195,-2.799,4.216,-1.504
1746751876.197,-2.800,4.216,-1.505
1746751876.198,-2.802,4.215,-1.505
1746751876.199,-2.803,4.214,-1.506
1746751876.200,-2.804,4.214,-1.506
1746751876.202,-2.805,4.213,-1.507
1746751876.203,-2.807,4.212,-1.507
1746751876.204,-2.808,4.212,-1.508
1746751876.206,-2.809,4.211,-1.508
1746751876.207,-2.810,4.210,-1.509
1746751876.208,-2.811,4.210,-1.509
1746751876.209,-2.813,4.209,-1.510
1746751876.211,-2.814,4.208,-1.510
1746751876.212,-2.815,4.208,-1.511
1746751876.213,-2.816,4.207,-1.511
1746751876.215,-2.818,4.206,-1.512
1746751876.216,-2.819,4.205,-1.512
1746751876.217,-2.820,4.205,-1.513
1746751876.218,-2.821,4.204,-1.513
1746751876.220,-2.823,4.203,-1.514
1746751876.221,-2.824,4.203,-1.514
1746751876.222,-2.825,4.202,-1.515
1746751876.224,-2.826,4.201,-1.515
1746751876.225,-2.827,4.201,-1.516
1746751876.226,-2.829,4.200,-1.516
1746751876.227,-2.830,4.199,-1.517
1746751876.229,-2.831,4.198,-1.517
1746751876.230,-2.832,4.198,-1.518
1746751876.233,-2.835,4.196,-1.519
1746751876.234,-2.836,4.196,-1.519
1746751876.235,-2.838,4.195,-1.520
1746751876.237,-2.839,4.194,-1.520
1746751876.238,-2.840,4.193,-1.521
1746751876.239,-2.841,4.193,-1.521
1746751876.241,-2.843,4.192,-1.522
1746751876.242,-2.844,4.191,-1.522
1746751876.243,-2.845,4.191,-1.523
1746751876.245,-2.846,4.190,-1.523
1746751876.246,-2.848,4.189,-1.524
1746751876.248,-2.850,4.188,-1.525
1746751876.250,-2.851,4.187,-1.525
1746751876.251,-2.852,4.186,-1.526
1746751876.252,-2.854,4.186,-1.526
1746751876.253,-2.855,4.185,-1.527
1746751876.255,-2.856,4.184,-1.527
1746751876.256,-2.857,4.183,-1.528
1746751876.257,-2.859,4.183,-1.528
1746751876.259,-2.860,4.182,-1.529
1746751876.260,-2.861,4.181,-1.529
1746751876.261,-2.863,4.181,-1.530
1746751876.263,-2.864,4.180,-1.530
1746751876.264,-2.865,4.179,-1.531
1746751876.265,-2.866,4.178,-1.531
1746751876.267,-2.868,4.178,-1.532
1746751876.268,-2.869,4.177,-1.532
1746751876.269,-2.870,4.176,-1.533
1746751876.271,-2.871,4.176,-1.533
1746751876.272,-2.872,4.175,-1.534
1746751876.273,-2.874,4.174,-1.534
1746751876.274,-2.875,4.173,-1.535
1746751876.276,-2.876,4.173,-1.535
1746751876.277,-2.877,4.172,-1.536
1746751876.278,-2.879,4.171,-1.536
1746751876.280,-2.880,4.171,-1.537
1746751876.281,-2.881,4.170,-1.537
1746751876.282,-2.882,4.169,-1.538
1746751876.284,-2.884,4.168,-1.538
1746751876.285,-2.885,4.168,-1.539
1746751876.286,-2.886,4.167,-1.539
1746751876.287,-2.887,4.166,-1.540
1746751876.289,-2.889,4.166,-1.540
1746751876.290,-2.890,4.165,-1.541
1746751876.291,-2.891,4.164,-1.541
1746751876.293,-2.893,4.163,-1.542
1746751876.294,-2.894,4.163,-1.542
1746751876.295,-2.895,4.162,-1.543
1746751876.297,-2.896,4.161,-1.543
1746751876.298,-2.898,4.160,-1.544
1746751876.301,-2.900,4.159,-1.545
1746751876.302,-2.902,4.158,-1.546
1746751876.304,-2.903,4.157,-1.546
1746751876.305,-2.904,4.157,-1.547
1746751876.306,-2.905,4.156,-1.547
1746751876.308,-2.907,4.155,-1.548
1746751876.309,-2.908,4.154,-1.548
1746751876.310,-2.909,4.154,-1.549
1746751876.312,-2.911,4.153,-1.549
